leave_id,employee_id,start_date,end_date,type,status,days
L00064,E0009,2026-06-23,2026-06-23,vacation,approved,1
L00065,E0009,2026-07-01,2026-07-01,vacation,approved,1
L00066,E0009,2026-08-04,2026-08-04,vacation,approved,1
L00067,E0010,2026-01-26,2026-01-26,vacation,approved,1
L00068,E0010,2026-03-16,2026-03-16,vacation,approved,1
L00069,E0010,2026-04-29,2026-04-29,vacation,approved,1
L00070,E0010,2026-05-05,2026-05-05,sick,pending,1
L00071,E0010,2026-05-08,2026-05-08,vacation,approved,1
L00072,E0010,2026-06-02,2026-06-02,vacation,approved,1
L00073,E0010,2026-06-12,2026-06-12,vacation,approved,1
L00074,E0010,2026-07-02,2026-07-02,sick,pending,1
L00075,E0010,2026-08-13,2026-08-13,vacation,approved,1
L00076,E0011,2026-01-23,2026-01-23,vacation,approved,1
L00077,E0011,2026-02-20,2026-02-20,vacation,approved,1
L00078,E0011,2026-03-16,2026-03-16,vacation,approved,1
L00079,E0011,2026-03-17,2026-03-17,vacation,approved,1
L00080,E0011,2026-05-05,2026-05-05,vacation,pending,1
L00081,E0011,2026-05-06,2026-05-06,vacation,pending,1
L00082,E0011,2026-07-24,2026-07-24,sick,approved,1
L00083,E0012,2026-02-04,2026-02-04,vacation,approved,1
L00084,E0012,2026-03-18,2026-03-18,vacation,approved,1
L00085,E0012,2026-04-10,2026-04-10,vacation,approved,1
L00086,E0012,2026-05-08,2026-05-08,vacation,pending,1
L00087,E0012,2026-07-08,2026-07-08,vacation,approved,1
L00088,E0012,2026-07-13,2026-07-13,vacation,approved,1
L00089,E0012,2026-07-27,2026-07-27,sick,approved,1
L00090,E0013,2026-02-02,2026-02-02,vacation,approved,1
L00091,E0013,2026-02-05,2026-02-05,vacation,approved,1
L00092,E0013,2026-02-23,2026-02-23,sick,approved,1
L00093,E0013,2026-03-24,2026-03-24,vacation,approved,1
L00094,E0013,2026-06-03,2026-06-03,vacation,approved,1
L00095,E0014,2026-02-03,2026-02-03,sick,approved,1
L00096,E0014,2026-02-26,2026-02-26,vacation,approved,1
L00097,E0014,2026-03-27,2026-03-27,vacation,approved,1
L00098,E0014,2026-08-03,2026-08-03,vacation,approved,1
L00099,E0015,2026-01-29,2026-01-29,vacation,approved,1
L00100,E0015,2026-02-23,2026-02-23,vacation,approved,1
L00101,E0015,2026-03-04,2026-03-04,vacation,approved,1
L00102,E0015,2026-03-17,2026-03-17,sick,approved,1
L00103,E0015,2026-05-21,2026-05-21,vacation,approved,1
L00104,E0015,2026-05-22,2026-05-22,vacation,approved,1
L00105,E0015,2026-06-17,2026-06-17,sick,approved,1
L00106,E0015,2026-08-12,2026-08-12,vacation,pending,1
L00107,E0015,2026-08-14,2026-08-14,vacation,approved,1
L00108,E0016,2026-02-03,2026-02-03,vacation,pending,1
L00109,E0016,2026-02-06,2026-02-06,sick,approved,1
L00110,E0016,2026-05-05,2026-05-05,vacation,approved,1
L00111,E0016,2026-06-05,2026-06-05,vacation,approved,1
L00112,E0016,2026-07-08,2026-07-08,vacation,approved,1
L00113,E0016,2026-08-06,2026-08-06,vacation,approved,1
L00114,E0017,2026-02-20,2026-02-20,vacation,approved,1
L00115,E0017,2026-03-10,2026-03-10,vacation,approved,1
L00116,E0017,2026-03-13,2026-03-13,sick,approved,1
L00117,E0017,2026-04-21,2026-04-21,sick,approved,1
L00118,E0017,2026-05-13,2026-05-13,vacation,approved,1
L00119,E0017,2026-05-29,2026-05-29,vacation,approved,1
L00120,E0017,2026-06-23,2026-06-23,vacation,pending,1
L00121,E0017,2026-08-10,2026-08-10,vacation,approved,1
L00122,E0017,2026-08-17,2026-08-17,vacation,pending,1
L00123,E0018,2026-04-01,2026-04-01,vacation,approved,1
L00124,E0018,2026-04-09,2026-04-09,vacation,approved,1
L00125,E0018,2026-05-22,2026-05-22,vacation,approved,1
L00126,E0018,2026-06-10,2026-06-10,vacation,approved,1
L00127,E0018,2026-07-21,2026-07-21,vacation,approved,1
L00128,E0018,2026-07-23,2026-07-23,vacation,approved,1
L00129,E0018,2026-08-18,2026-08-18,sick,approved,1
L00130,E0018,2026-08-19,2026-08-19,sick,pending,1
L00131,E0018,2026-08-21,2026-08-21,vacation,approved,1
L00132,E0019,2026-01-27,2026-01-27,vacation,pending,1
L00133,E0019,2026-02-16,2026-02-16,vacation,approved,1
L00134,E0019,2026-05-13,2026-05-13,vacation,approved,1
L00135,E0019,2026-07-15,2026-07-15,vacation,approved,1
L00136,E0019,2026-07-16,2026-07-16,sick,approved,1
L00137,E0020,2026-01-13,2026-01-13,sick,approved,1
L00138,E0020,2026-02-18,2026-02-18,vacation,approved,1
L00139,E0020,2026-03-20,2026-03-20,vacation,approved,1
L00140,E0020,2026-03-27,2026-03-27,vacation,pending,1
L00141,E0020,2026-04-13,2026-04-13,vacation,approved,1
L00142,E0021,2026-02-06,2026-02-06,vacation,approved,1
L00143,E0021,2026-02-12,2026-02-12,vacation,pending,1
L00144,E0021,2026-03-10,2026-03-10,vacation,approved,1
L00145,E0021,2026-03-30,2026-03-30,vacation,approved,1
L00146,E0021,2026-05-11,2026-05-11,sick,approved,1
L00147,E0021,2026-05-15,2026-05-15,vacation,pending,1
L00148,E0021,2026-07-02,2026-07-02,sick,approved,1
L00149,E0021,2026-07-31,2026-07-31,vacation,approved,1
L00150,E0021,2026-08-06,2026-08-06,vacation,approved,1
L00151,E0022,2026-02-06,2026-02-06,vacation,pending,1
L00152,E0022,2026-02-26,2026-02-26,vacation,approved,1
L00153,E0022,2026-04-08,2026-04-08,vacation,approved,1
L00154,E0022,2026-05-08,2026-05-08,vacation,approved,1
L00155,E0022,2026-05-18,2026-05-18,vacation,approved,1
L00156,E0022,2026-07-07,2026-07-07,vacation,approved,1
L00157,E0022,2026-07-09,2026-07-09,sick,approved,1
L00158,E0022,2026-07-30,2026-07-30,sick,approved,1
L00159,E0023,2026-03-05,2026-03-05,vacation,approved,1
L00160,E0023,2026-06-08,2026-06-08,vacation,approved,1
L00161,E0023,2026-07-24,2026-07-24,sick,approved,1
L00162,E0023,2026-08-12,2026-08-12,vacation,pending,1
L00163,E0023,2026-08-31,2026-08-31,vacation,approved,1
L00164,E0024,2026-01-02,2026-01-02,sick,approved,1
L00165,E0024,2026-02-26,2026-02-26,sick,approved,1
L00166,E0024,2026-03-12,2026-03-12,vacation,approved,1
L00167,E0024,2026-03-16,2026-03-16,vacation,approved,1
L00168,E0024,2026-03-30,2026-03-30,vacation,approved,1
L00169,E0024,2026-06-01,2026-06-01,vacation,approved,1
L00170,E0024,2026-06-17,2026-06-17,vacation,approved,1
L00171,E0024,2026-07-22,2026-07-22,vacation,approved,1
L00172,E0024,2026-08-19,2026-08-19,vacation,pending,1
L00173,E0025,2026-01-30,2026-01-30,vacation,approved,1
L00174,E0025,2026-02-11,2026-02-11,vacation,approved,1
L00175,E0025,2026-03-09,2026-03-09,vacation,pending,1
L00176,E0025,2026-04-09,2026-04-09,vacation,approved,1
L00177,E0025,2026-05-27,2026-05-27,sick,approved,1
L00178,E0025,2026-06-05,2026-06-05,vacation,approved,1
L00179,E0025,2026-07-09,2026-07-09,vacation,approved,1
L00180,E0025,2026-08-03,2026-08-03,sick,approved,1
L00181,E0025,2026-08-27,2026-08-27,vacation,approved,1
L00182,E0026,2026-03-30,2026-03-30,vacation,approved,1
L00183,E0026,2026-04-01,2026-04-01,sick,approved,1
L00184,E0026,2026-05-19,2026-05-19,vacation,approved,1
L00185,E0026,2026-07-10,2026-07-10,vacation,approved,1
L00186,E0026,2026-08-05,2026-08-05,vacation,pending,1
L00187,E0026,2026-08-10,2026-08-10,vacation,approved,1
L00188,E0027,2026-03-30,2026-03-30,sick,approved,1
L00189,E0027,2026-05-13,2026-05-13,vacation,approved,1
L00190,E0027,2026-06-02,2026-06-02,vacation,approved,1
L00191,E0027,2026-06-10,2026-06-10,vacation,pending,1
L00192,E0027,2026-08-06,2026-08-06,vacation,approved,1
L00193,E0028,2026-01-26,2026-01-26,sick,approved,1
L00194,E0028,2026-03-24,2026-03-24,vacation,approved,1
L00195,E0028,2026-04-30,2026-04-30,vacation,approved,1
L00196,E0029,2026-01-02,2026-01-02,sick,approved,1
L00197,E0029,2026-02-12,2026-02-12,vacation,pending,1
L00198,E0029,2026-04-09,2026-04-09,vacation,approved,1
L00199,E0029,2026-04-15,2026-04-15,vacation,approved,1
L00200,E0029,2026-04-23,2026-04-23,sick,approved,1
L00201,E0029,2026-05-06,2026-05-06,vacation,approved,1
L00202,E0029,2026-05-08,2026-05-08,vacation,approved,1
L00203,E0029,2026-07-07,2026-07-07,vacation,approved,1
L00204,E0029,2026-07-20,2026-07-20,vacation,approved,1
L00205,E0029,2026-07-22,2026-07-22,vacation,approved,1
L00206,E0030,2026-04-01,2026-04-01,sick,approved,1
L00207,E0030,2026-06-04,2026-06-04,vacation,approved,1
L00208,E0030,2026-08-03,2026-08-03,vacation,approved,1
L00209,E0030,2026-08-13,2026-08-13,vacation,approved,1
L00210,E0031,2026-04-09,2026-04-09,vacation,approved,1
L00211,E0031,2026-04-14,2026-04-14,vacation,approved,1
L00212,E0031,2026-04-27,2026-04-27,vacation,approved,1
L00213,E0031,2026-05-18,2026-05-18,sick,approved,1
L00214,E0031,2026-06-09,2026-06-09,vacation,approved,1
L00215,E0031,2026-07-30,2026-07-30,vacation,approved,1
L00216,E0032,2026-01-16,2026-01-16,vacation,approved,1
L00217,E0032,2026-02-02,2026-02-02,vacation,approved,1
L00218,E0032,2026-02-04,2026-02-04,vacation,approved,1
L00219,E0032,2026-03-24,2026-03-24,vacation,approved,1
L00220,E0032,2026-04-20,2026-04-20,sick,approved,1
L00221,E0032,2026-07-08,2026-07-08,vacation,approved,1
L00222,E0033,2026-02-09,2026-02-09,sick,approved,1
L00223,E0033,2026-03-10,2026-03-10,vacation,approved,1
L00224,E0033,2026-05-15,2026-05-15,vacation,approved,1
L00225,E0033,2026-05-28,2026-05-28,vacation,approved,1
L00226,E0034,2026-01-09,2026-01-09,vacation,approved,1
L00227,E0034,2026-02-03,2026-02-03,sick,approved,1
L00228,E0034,2026-03-27,2026-03-27,vacation,approved,1
L00229,E0034,2026-04-02,2026-04-02,vacation,approved,1
L00230,E0034,2026-04-09,2026-04-09,vacation,pending,1
L00231,E0034,2026-06-11,2026-06-11,vacation,approved,1
L00232,E0035,2026-02-11,2026-02-11,sick,approved,1
L00233,E0035,2026-03-03,2026-03-03,vacation,approved,1
L00234,E0035,2026-03-16,2026-03-16,sick,approved,1
L00235,E0035,2026-04-29,2026-04-29,vacation,pending,1
L00236,E0035,2026-05-18,2026-05-18,vacation,approved,1
L00237,E0035,2026-05-28,2026-05-28,vacation,approved,1
L00238,E0035,2026-07-30,2026-07-30,vacation,pending,1
L00239,E0035,2026-08-10,2026-08-10,vacation,approved,1
L00240,E0035,2026-08-11,2026-08-11,vacation,pending,1
L00241,E0035,2026-08-25,2026-08-25,vacation,approved,1
L00242,E0036,2026-01-13,2026-01-13,vacation,approved,1
L00243,E0036,2026-04-21,2026-04-21,vacation,approved,1
L00244,E0036,2026-05-13,2026-05-13,sick,approved,1
L00245,E0036,2026-05-26,2026-05-26,vacation,approved,1
L00246,E0036,2026-06-26,2026-06-26,vacation,approved,1
L00247,E0037,2026-03-09,2026-03-09,vacation,approved,1
L00248,E0037,2026-03-11,2026-03-11,sick,approved,1
L00249,E0037,2026-03-20,2026-03-20,vacation,approved,1
L00250,E0037,2026-04-17,2026-04-17,vacation,approved,1
L00251,E0037,2026-06-18,2026-06-18,vacation,pending,1
L00252,E0037,2026-06-29,2026-06-29,vacation,approved,1
L00253,E0037,2026-07-09,2026-07-09,sick,approved,1
L00254,E0037,2026-07-30,2026-07-30,vacation,pending,1
L00255,E0038,2026-03-19,2026-03-19,vacation,approved,1
L00256,E0038,2026-06-09,2026-06-09,sick,approved,1
L00257,E0038,2026-08-19,2026-08-19,vacation,pending,1
L00258,E0039,2026-04-17,2026-04-17,vacation,approved,1
L00259,E0039,2026-04-29,2026-04-29,vacation,approved,1
L00260,E0039,2026-06-11,2026-06-11,vacation,approved,1
L00261,E0039,2026-06-23,2026-06-23,sick,approved,1
L00262,E0040,2026-01-06,2026-01-06,sick,approved,1
L00263,E0040,2026-01-07,2026-01-07,vacation,approved,1
L00264,E0040,2026-01-08,2026-01-08,vacation,pending,1
L00265,E0040,2026-02-11,2026-02-11,vacation,approved,1
L00266,E0040,2026-04-01,2026-04-01,vacation,approved,1
L00267,E0040,2026-07-02,2026-07-02,sick,approved,1
L00268,E0040,2026-07-13,2026-07-13,vacation,approved,1
L00269,E0040,2026-07-15,2026-07-15,vacation,approved,1
L00270,E0040,2026-08-12,2026-08-12,vacation,approved,1
L00271,E0041,2026-01-27,2026-01-27,vacation,approved,1
L00272,E0041,2026-01-30,2026-01-30,vacation,approved,1
L00273,E0041,2026-02-13,2026-02-13,vacation,approved,1
L00274,E0041,2026-05-12,2026-05-12,sick,pending,1
L00275,E0041,2026-06-10,2026-06-10,vacation,pending,1
L00276,E0041,2026-06-23,2026-06-23,vacation,approved,1
L00277,E0041,2026-07-07,2026-07-07,vacation,approved,1
L00278,E0042,2026-01-07,2026-01-07,sick,approved,1
L00279,E0042,2026-01-21,2026-01-21,vacation,approved,1
L00280,E0042,2026-02-11,2026-02-11,vacation,approved,1
L00281,E0042,2026-03-25,2026-03-25,vacation,approved,1
L00282,E0042,2026-05-22,2026-05-22,sick,approved,1
L00283,E0042,2026-06-19,2026-06-19,vacation,approved,1
L00284,E0042,2026-07-16,2026-07-16,vacation,approved,1
L00285,E0042,2026-07-28,2026-07-28,vacation,approved,1
L00286,E0043,2026-01-13,2026-01-13,sick,approved,1
L00287,E0043,2026-01-26,2026-01-26,sick,approved,1
L00288,E0043,2026-01-30,2026-01-30,vacation,approved,1
L00289,E0043,2026-03-18,2026-03-18,vacation,approved,1
L00290,E0043,2026-03-23,2026-03-23,vacation,approved,1
L00291,E0043,2026-04-29,2026-04-29,vacation,approved,1
L00292,E0043,2026-05-15,2026-05-15,vacation,approved,1
L00293,E0043,2026-05-20,2026-05-20,vacation,approved,1
L00294,E0043,2026-08-06,2026-08-06,vacation,approved,1
L00295,E0044,2026-01-23,2026-01-23,vacation,pending,1
L00296,E0044,2026-01-27,2026-01-27,sick,pending,1
L00297,E0044,2026-04-08,2026-04-08,vacation,approved,1
L00298,E0044,2026-04-30,2026-04-30,vacation,approved,1
L00299,E0044,2026-05-11,2026-05-11,vacation,approved,1
L00300,E0045,2026-02-04,2026-02-04,vacation,pending,1
L00301,E0045,2026-02-09,2026-02-09,sick,approved,1
L00302,E0045,2026-02-16,2026-02-16,vacation,approved,1
L00303,E0045,2026-03-25,2026-03-25,vacation,approved,1
L00304,E0045,2026-08-12,2026-08-12,vacation,approved,1
L00305,E0046,2026-02-13,2026-02-13,vacation,approved,1
L00306,E0046,2026-03-30,2026-03-30,vacation,approved,1
L00307,E0046,2026-05-28,2026-05-28,vacation,approved,1
L00308,E0046,2026-06-19,2026-06-19,vacation,approved,1
L00309,E0046,2026-07-30,2026-07-30,sick,approved,1
L00310,E0047,2026-04-08,2026-04-08,vacation,approved,1
L00311,E0047,2026-04-22,2026-04-22,vacation,approved,1
L00312,E0047,2026-05-04,2026-05-04,vacation,approved,1
L00313,E0047,2026-07-27,2026-07-27,sick,approved,1
L00314,E0047,2026-08-24,2026-08-24,vacation,approved,1
L00315,E0048,2026-01-15,2026-01-15,vacation,approved,1
L00316,E0048,2026-03-16,2026-03-16,sick,approved,1
L00317,E0048,2026-04-01,2026-04-01,vacation,approved,1
L00318,E0048,2026-04-23,2026-04-23,vacation,approved,1
L00319,E0048,2026-06-02,2026-06-02,sick,approved,1
L00320,E0048,2026-06-10,2026-06-10,vacation,approved,1
L00321,E0048,2026-07-01,2026-07-01,vacation,approved,1
L00322,E0048,2026-07-31,2026-07-31,vacation,approved,1
L00323,E0049,2026-02-05,2026-02-05,vacation,approved,1
L00324,E0049,2026-03-18,2026-03-18,vacation,approved,1
L00325,E0049,2026-04-22,2026-04-22,sick,approved,1
L00326,E0049,2026-05-29,2026-05-29,vacation,approved,1
L00327,E0050,2026-01-14,2026-01-14,vacation,approved,1
L00328,E0050,2026-06-03,2026-06-03,vacation,approved,1
L00329,E0050,2026-08-06,2026-08-06,sick,approved,1
L00330,E0050,2026-08-10,2026-08-10,vacation,approved,1
L00331,E0051,2026-01-13,2026-01-13,vacation,approved,1
L00332,E0051,2026-02-27,2026-02-27,vacation,approved,1
L00333,E0051,2026-03-09,2026-03-09,sick,approved,1
L00334,E0051,2026-08-18,2026-08-18,vacation,approved,1
L00335,E0051,2026-08-26,2026-08-26,vacation,approved,1
L00336,E0052,2026-01-27,2026-01-27,vacation,approved,1
L00337,E0052,2026-05-22,2026-05-22,sick,approved,1
L00338,E0052,2026-07-23,2026-07-23,vacation,approved,1
L00339,E0052,2026-07-30,2026-07-30,vacation,approved,1
L00340,E0053,2026-01-14,2026-01-14,vacation,approved,1
L00341,E0053,2026-01-20,2026-01-20,vacation,approved,1
L00342,E0053,2026-03-06,2026-03-06,sick,approved,1
L00343,E0053,2026-07-15,2026-07-15,vacation,approved,1
L00344,E0054,2026-03-03,2026-03-03,vacation,approved,1
L00345,E0054,2026-04-08,2026-04-08,sick,approved,1
L00346,E0054,2026-05-19,2026-05-19,vacation,approved,1
L00347,E0054,2026-06-09,2026-06-09,vacation,approved,1
L00348,E0054,2026-08-07,2026-08-07,vacation,pending,1
L00349,E0055,2026-03-05,2026-03-05,sick,approved,1
L00350,E0055,2026-04-22,2026-04-22,vacation,approved,1
L00351,E0055,2026-04-27,2026-04-27,vacation,approved,1
L00352,E0055,2026-07-10,2026-07-10,vacation,approved,1
L00353,E0056,2026-04-22,2026-04-22,vacation,approved,1
L00354,E0056,2026-04-28,2026-04-28,vacation,approved,1
L00355,E0056,2026-05-26,2026-05-26,vacation,pending,1
L00356,E0056,2026-06-08,2026-06-08,sick,approved,1
L00357,E0056,2026-06-12,2026-06-12,vacation,approved,1
L00358,E0056,2026-07-21,2026-07-21,vacation,approved,1
L00359,E0056,2026-08-25,2026-08-25,vacation,pending,1
L00360,E0057,2026-01-09,2026-01-09,vacation,approved,1
L00361,E0057,2026-02-10,2026-02-10,vacation,approved,1
L00362,E0057,2026-02-24,2026-02-24,vacation,approved,1
L00363,E0057,2026-04-28,2026-04-28,vacation,approved,1
L00364,E0057,2026-06-11,2026-06-11,sick,approved,1
L00365,E0057,2026-08-04,2026-08-04,vacation,approved,1
L00366,E0057,2026-08-13,2026-08-13,vacation,approved,1
L00367,E0057,2026-08-18,2026-08-18,sick,pending,1
L00368,E0058,2026-01-29,2026-01-29,vacation,approved,1
L00369,E0058,2026-02-19,2026-02-19,sick,approved,1
L00370,E0058,2026-03-02,2026-03-02,vacation,approved,1
L00371,E0058,2026-04-30,2026-04-30,vacation,approved,1
L00372,E0058,2026-06-02,2026-06-02,vacation,approved,1
L00373,E0058,2026-08-07,2026-08-07,sick,approved,1
L00374,E0058,2026-08-10,2026-08-10,vacation,approved,1
L00375,E0058,2026-08-17,2026-08-17,vacation,approved,1
L00376,E0059,2026-01-09,2026-01-09,vacation,approved,1
L00377,E0059,2026-01-16,2026-01-16,vacation,approved,1
L00378,E0059,2026-04-17,2026-04-17,vacation,approved,1
L00379,E0059,2026-04-21,2026-04-21,vacation,approved,1
L00380,E0059,2026-04-29,2026-04-29,vacation,approved,1
L00381,E0059,2026-04-30,2026-04-30,sick,approved,1
L00382,E0059,2026-06-01,2026-06-01,vacation,approved,1
L00383,E0059,2026-06-24,2026-06-24,vacation,approved,1
L00384,E0059,2026-06-30,2026-06-30,sick,approved,1
L00385,E0059,2026-07-10,2026-07-10,vacation,pending,1
L00386,E0060,2026-02-05,2026-02-05,vacation,approved,1
L00387,E0060,2026-04-02,2026-04-02,vacation,approved,1
L00388,E0060,2026-06-03,2026-06-03,sick,pending,1
L00389,E0060,2026-08-18,2026-08-18,vacation,approved,1
L00390,E0061,2026-01-09,2026-01-09,vacation,approved,1
L00391,E0061,2026-03-04,2026-03-04,sick,approved,1
L00392,E0061,2026-03-17,2026-03-17,sick,approved,1
L00393,E0061,2026-03-20,2026-03-20,vacation,approved,1
L00394,E0061,2026-04-07,2026-04-07,vacation,pending,1
L00395,E0061,2026-05-29,2026-05-29,vacation,approved,1
L00396,E0061,2026-07-17,2026-07-17,vacation,approved,1
L00397,E0061,2026-07-22,2026-07-22,vacation,approved,1
L00398,E0062,2026-01-15,2026-01-15,sick,approved,1
L00399,E0062,2026-01-28,2026-01-28,vacation,approved,1
L00400,E0062,2026-04-27,2026-04-27,vacation,approved,1
L00401,E0062,2026-06-04,2026-06-04,vacation,approved,1
L00402,E0062,2026-07-09,2026-07-09,vacation,approved,1
L00403,E0062,2026-07-27,2026-07-27,vacation,pending,1
L00404,E0062,2026-08-06,2026-08-06,vacation,approved,1
L00405,E0063,2026-01-20,2026-01-20,vacation,approved,1
L00406,E0063,2026-01-27,2026-01-27,vacation,pending,1
L00407,E0063,2026-01-29,2026-01-29,vacation,approved,1
L00408,E0063,2026-02-10,2026-02-10,sick,approved,1
L00409,E0063,2026-02-16,2026-02-16,vacation,pending,1
L00410,E0063,2026-06-04,2026-06-04,vacation,approved,1
L00411,E0063,2026-06-11,2026-06-11,sick,pending,1
L00412,E0063,2026-07-23,2026-07-23,vacation,approved,1
L00413,E0063,2026-08-05,2026-08-05,vacation,approved,1
L00414,E0064,2026-01-21,2026-01-21,vacation,approved,1
L00415,E0064,2026-04-15,2026-04-15,vacation,approved,1
L00416,E0064,2026-06-17,2026-06-17,vacation,approved,1
L00417,E0064,2026-08-05,2026-08-05,sick,approved,1
L00418,E0065,2026-02-24,2026-02-24,vacation,approved,1
L00419,E0065,2026-03-11,2026-03-11,vacation,pending,1
L00420,E0065,2026-04-20,2026-04-20,vacation,approved,1
L00421,E0065,2026-06-22,2026-06-22,sick,approved,1
L00422,E0066,2026-01-05,2026-01-05,vacation,approved,1
L00423,E0066,2026-01-27,2026-01-27,vacation,approved,1
L00424,E0066,2026-05-28,2026-05-28,vacation,approved,1
L00425,E0066,2026-06-03,2026-06-03,vacation,approved,1
L00426,E0066,2026-06-04,2026-06-04,sick,approved,1
L00427,E0066,2026-06-08,2026-06-08,vacation,pending,1
L00428,E0066,2026-06-23,2026-06-23,vacation,approved,1
L00429,E0066,2026-08-03,2026-08-03,sick,approved,1
L00430,E0067,2026-01-08,2026-01-08,sick,approved,1
L00431,E0067,2026-03-17,2026-03-17,sick,approved,1
L00432,E0067,2026-03-31,2026-03-31,vacation,approved,1
L00433,E0067,2026-05-28,2026-05-28,vacation,approved,1
L00434,E0067,2026-06-04,2026-06-04,vacation,approved,1
L00435,E0067,2026-06-10,2026-06-10,vacation,approved,1
L00436,E0067,2026-08-27,2026-08-27,vacation,approved,1
L00437,E0067,2026-08-31,2026-08-31,vacation,approved,1
L00438,E0068,2026-01-16,2026-01-16,vacation,approved,1
L00439,E0068,2026-01-22,2026-01-22,vacation,approved,1
L00440,E0068,2026-01-23,2026-01-23,vacation,approved,1
L00441,E0068,2026-03-09,2026-03-09,vacation,approved,1
L00442,E0068,2026-03-12,2026-03-12,vacation,approved,1
L00443,E0068,2026-05-05,2026-05-05,vacation,approved,1
L00444,E0068,2026-06-01,2026-06-01,vacation,pending,1
L00445,E0068,2026-06-25,2026-06-25,sick,pending,1
L00446,E0068,2026-07-15,2026-07-15,vacation,approved,1
L00447,E0068,2026-07-30,2026-07-30,sick,approved,1
L00448,E0069,2026-01-02,2026-01-02,sick,approved,1
L00449,E0069,2026-04-16,2026-04-16,vacation,approved,1
L00450,E0069,2026-06-22,2026-06-22,vacation,approved,1
L00451,E0070,2026-01-23,2026-01-23,sick,approved,1
L00452,E0070,2026-04-23,2026-04-23,vacation,approved,1
L00453,E0070,2026-07-31,2026-07-31,vacation,approved,1
